,reviews
0, the ba first lounge at terminal was a zoo at pm dirty tables and used tableware everywhere worse than this the usual atrocious boarding gate service and boarding started mins late the flight was operated by a finnair a which is barely low cost standard let alone business class hard thin uncomfortable seats poor legroom and the cabin was simply tatty i remain shocked that ba allow this and its time for bas ceo and management focused on standards rather than bean counting finnair cabin staff were fundamentally courteous but they provide a very trimmed down budget airline type service as the whole trip turned out to be and yet this business class ticket was one of the more expensive on recent trips i thought post covid that ba were better for a few months but with the many cost cuts they are making they fall well below all other european full service airlines
1,paid a quick visit to nice yesterday from heathrow decided to go business class since my last short haul flight in economy was a real crush and rather unpleasant i paid over for a business class round trip i went into the to ba lounge in terminal which was very crowded being in the morning i decided against having a drink and stuck to the breakfast offering the cooked options did not look that appealing but the fresh fruit selection was very enjoyable we subsequently discovered a much nicer ba lounge closer to the gate b and waited there for mins boarding was efficient and we got ourselves seated in a and c seat b was blocked out which acted as an additional table there did not seem to be any difference in the width of the seat from the cramped seating in economy but there may have been an additional inch of leg room i think that ba are trying to outdo easyjet in terms on no frills it would not cost ba that much to supply business class passengers with a complimentary newspaper to read during the flight the inflight magazine is no longer available there are no screens so there was zero in terms of in flight entertainment the inflight wifi was flaky at best and nonexistent at other times i was glad it was only a two hour flight i really do not think the fare that we paid was worth the money
2,words fail to describe this last awful flight baby across the aisle crying for most of the flight and although horrible to go without any rest for the long flight lhrsfo its understandable for a baby to cry nonstop but the crew yakking loudly in the galley even after a polite notification that their conversation could be heard in the cabin that made the flight unbearable for any rest or sleep always difficult anyway westbound the food was so bad that most turned down whatever the nasty offering was on the nd service what happened to the really nice tea and scones ive said this before after suffering through the ba concept of customer service ie dont do anything to help the passenger if it involves any extra work this time i swear i mean it never again on ba please the lounge was so packed even a single traveler had a hard time finding a seat poor ba is on the skids downhill
3,absolutely terrible experience the app would not let me check in online and repeatedly asked for covid documents but then did not accept them even when provided i was trying to fly back to the usa where i am a citizen and the app caused repeated errors i went to british airways customer service to check in and was told that my seat was already given away to another passenger even though i was there in plenty of time this was also during an industrial action at heathrow meaning the number of flights were limited i was delayed over hours in returning to the usa all because of their terrible app and then bad customer service that gives away seats even when the paid passenger is already there at the airport
4,ba overbook every flight to maximise their income with no regard for the customer it means you cannot check in online or at the kiosk in the airport and have to queue even with no luggage makes easyjet and ryanair look like customer champions the server in itsu in the ba terminal says she stopped flying ba years ago due to the service being bad all the time most customers she serves have a complaint staff dont care as poor service and unhappy customers is a routine occurrence
5,the flights were all on time except belfast from london which never is the staff were efficient my issue is the app i could not book seats to tel aviv though tried for a month as wanted to pay so ended up in a middle seat even though a window seat was available on the flight the seat was in front of the dividing barrier and was used as thoroughfare by the service team throughout the flight so i wasted my money on pe seat you can get hold of ba customer service via the app either and they have just ignored all other communication so just wont use them again
6,only the second time flying ba as first time wasnt positive could have made my connection in heathrow if ba had been proactive instead overnight at the renaissance hotel compliments of ba adequate but one wonders why a large part of this hotel is devoted to sleeping and feeding of hundreds of stranded passengers if ba had offered one employee to help us get to our gate instead of waiting for the shuttle bus which was a half hour late arriving we could have made our flight and saved ba the cost of rebooking hotel shuttle food accommodations another bad show business class fare should offer more
7,i wasnt going to bother reviewing this flight as i seem to be on a perpetual downer with ba but the airport experience convinced me otherwise after having our flight class reduced from first to business then offered an alternative route on the outward leg in first to make up for the disappointment they then reneged on this as it was a special anniversary it sucked flying back we checked in online to our chosen window seats at the gate we had to show our passports as we passport before boarding as we were hand luggage only trying to board we had our passports checked twice more and were issued new boarding cards for centre seats unbelievable the flight itself was very quiet and only half the normal crew for this aircraft was unavailable this meant no predeparture drinks and a limited selection of food the crew was great but what an earth is going on at ba they have this unique knack to snatch defeat from the jaws of victory every time i say this as the new club suites are great
8,i booked business class tickets for my fianc and i i had to reschedule my flight due to an unforeseen timing change so i called to get have my flight refunded the representative on the phone informed me he wasnt sure how much i would get as the refund department needed to check but estimated i would lose of my booking to fees i accepted i never got a cancellation email or any update but instead received total back less than of my booking costs since then i have spent over hours calling different departments before they blocked me ive lost a tremendous amount of money with nothing to show
9,i will never travel with british airways again i spent over on a business class seat to attend a funeral in the uk first the boeing cabin has seats across the aisle so what you are getting in reality is premium economy the seats are narrow and effectively are a business class seat cut in half they have squeezed these seats in which means that some passengers bump their heads into the bulkhead when they stand up and many have to clamber over others to go to the toilet which wakes up that passenger the whole point about business class is that you pay to rest and have privacy and not have someone push over the top of you second the food was disgusting third the service terrible fourth the toilet was tiny fifth the inflight screen was fixed and too high so i could not see anything sixth their baggage handling is also appalling meaning that my taxi was waiting for hours and i had to pay more no free airport transfers with british airways seventh the charging points did not work the second leg to london was on a larger plane with seats across the aisle that was bearable because no hopping over people but the seat was very uncomfortable because it was not one piece this means that you are sleeping on a metal bar the seat where there is a gap in the seat to add insult to injury i now find that both flights back to sydney are on the small plane to book a seat before check in is i paid it but note that there were only seats left this is why i got the worst seat in the house going out this is the most appalling airline service i have ever encountered there is no point paying for business class in british airways
